"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","Site"
"111","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter","Type","Mucosal",1.58664200690237,0.422014256447095,91,10,0.000315588445657255,0.00515461127906849,"Jejunum"
"331","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group","Type","Mucosal",0.770056443677781,0.329267302194638,91,61,0.024075199997704,0.110842867103523,"Jejunum"
"71","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__.Eubacterium..siraeum.group","Type","Mucosal",0.936270197794178,0.209329190848579,91,13,5.01172929227225e-05,0.00127335047944399,"Jejunum"
"57","k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus","Type","Mucosal",-0.320969368258651,0.243437217988364,91,33,0.194192119961756,0.395299092859836,"Jejunum"
"36","k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Eggerthella","Type","Mucosal",-1.11479955812324,0.195406271185005,91,30,8.27646037587485e-07,5.16150165259104e-05,"Jejunum"
"491","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group","Type","Mucosal",0.283224571685238,0.177468420908258,91,8,0.117705303832899,0.296825696305468,"Jejunum"
"301","k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Clostridioides","Type","Mucosal",0.610385217832888,0.246247295670127,91,11,0.0169560358148904,0.0868047803657822,"Jejunum"
"60","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..torques.group","Type","Mucosal",-0.335509765853236,0.285189400016455,91,43,0.245526045331857,0.458309637118413,"Jejunum"
"141","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis","Type","Mucosal",-0.878910309685542,0.24960731745532,91,49,0.000969167012233878,0.011872295899865,"Jejunum"
"54","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..gauvreauii.group","Type","Mucosal",-1.46424015953843,0.307828239983825,91,49,2.26283559302757e-05,0.000739192960389007,"Jejunum"
"62","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia","Type","Mucosal",0.776775444457485,0.179927360261865,91,17,4.34473755664689e-05,0.00119219598554391,"Jejunum"
