#OTU ID,Itg.04.DTT422.S14,LYZdtt306,Vil1.07B.DTT82,Itg.20.DTT506.S1,LYZFP330,Itg.16.FP482.S85,Itg.22.FP518.S21,LYZdtt318,Lyz2.03B.FP234.S82,Itg.26.FP542.S46,LYZFP318,Vil1.02B.FP22,Lyz2.07B.DTT282.S124,LYZFP306,Itg.08.FP446.S47,Itg.26.DTT542.S38,Lyz2.04B.DTT246.S87,Itg.20.FP506.S9,Lyz2.02B.DTT222.S62,Vil1.03B.DTT34,Itg.10.FP458.S60,LYZFP354,Vil1.05B.FP58,Lyz2.06B.DTT270.S112,Lyz2.02B.FP222.S70,LYZFP342,Vil1.09B.FP103,SLCdtt022,Vil1.08B.DTT94,SLCdtt148,Vil1.04B.FP46,SLCdtt166,Vil1.013B.DTT154,SLCdtt052,Vil1.04B.DTT46,Itg.24.DTT530.S25,Lyz2.05B.FP258.S55,Itg.18.FP494.S97,Vil1.13B.FP151,Itg.16.DTT482.S77,SLCdtt112,Itg.10.DTT458.S52,Itg.04.FP422.S22,SLCdtt004,Itg.18.DTT494.S89,Vil1.01B.FP10,Lyz2.03B.DTT234.S74,SLCdtt130,Itg.06.FP434.S35,SLCFP148,Vil1.010B.DTT118,Lyz2.08B.FP294.S92,SLCFP022,Lyz2.07B.FP282.S80,SLCFP052,Vil1.05B.DTT58,Vil1.06B.FP70,Vil1.03B.FP34,SLCFP166,Vil1.09B.DTT106,Itg.24.FP530.S33,Vil1.14B.FP163,SLCFP112,SLCdtt070,SLCdtt076,Lyz2.01B.DTT210.S50,Itg.12.FP470.S72,SLCFP004,Vil1.01B.DTT10,Itg.02.DTT410.S2,Lyz2.05B.DTT258.S99,Itg.02.FP410.S10,Itg.12.DTT470.S64,Vil1.10B.FP115,Vil1.06B.DTT70,Lyz2.04B.FP246.S43,Itg.22.DTT518.S13,Lyz2.06B.FP270.S68,Lyz2.01B.FP210.S58,SLCFP076,SLCFP070,LYZdtt354,Vil1.07B.FP82,Itg.08.DTT446.S39,Vil1.02B.DTT22,LYZdtt366,Itg.06.DTT434.S27,SLCFP094,LYZdtt330,Lyz2.08B.DTT294.S136,Vil1.08B.FP91,LYZdtt342,taxonomy
MF0002,138094.79,26868.2,2969.75,19722.32,63051.09,48402.93,57564.91,227278.31,191714.68,76628.25,81094.09,49799.07,47307.3,161196.92,29529.91,33879.67,15325.48,53409.07,171721.99,31977.61,88050.32,298110.31,109833.06,31708.06,301578.09,82436.5,15679,37844.32,5315.25,59370.97,52989.58,500723.35,23099.2,36615.18,14122.9,20020.02,8449.91,53500.91,39878.66,9807.59,2133.25,63782.75,171940.59,19200.5,26822.03,82197.25,68852.71,7708.35,159837.91,34153.51,13289,47390.9,16709.81,29606.25,40856.02,6839.75,46936.02,63510.36,83209.88,11964.81,78911.38,65618.7,14712.41,11546.12,106343.65,56980.17,65405.34,33616.34,26065.5,63328.16,12978.5,53109.25,59179.43,29209.29,2288.5,39292.34,15812.48,18081.18,300321.5,131803.16,40580.07,40115.51,69160.18,12109.41,11065.41,19394.09,79743.6,34275.92,8659.45,8456.31,52647.17,64023.29,
MF0046,6547.33,7017.53,5331.08,3894.49,11591.65,4834,29229.24,25901.46,51627.14,47683.42,10576.72,22559.48,9090.12,55679.98,15715.41,25212.75,5848.75,11924.14,6657.56,2325.25,41603.58,4304.56,5075.69,10292.91,3080,679.69,11459.74,16715.99,9726.49,12178.38,7296.44,55177.41,7819.7,14800.11,3349.79,7800.17,5814.5,12997.16,27857.72,3051.69,1200.33,28335.48,7686.5,6783.83,7387.3,2313.08,14265.86,1075.68,6805.52,8401.65,9986.66,1310.68,6752.32,772.25,12175.67,8222,2437.27,43549.67,22366.09,9381.34,54329.76,15270.12,5786,1799.71,6837.23,2253.82,24255.91,12458.08,1162.6,27848.95,12514.45,26562.75,24876.89,22767.04,3951.91,30543.17,6047.26,7357.24,1848.75,11586.83,11692.58,683.51,1038.5,6616.23,5743.58,12538.98,5483.93,5496.64,3450.5,1762.71,8157.93,2580.94,
MF0043,192.5,0,0,13,0,247,43,0,277,0,0,0,0,0,35,0,0,79.5,0,0,174,0,32.5,0,0,0,93.5,85,0,213.5,107,10.5,0,44,0,45.375,0,154.5,0,39.5,0,38,54,0,42,0,0,30.5,229.5,184,4.5,0,84.5,0,211,0,893,19,90,16.5,0,484.25,77.5,13.5,0,0,297.5,121,0,32,0,0,61,110.375,0,0,41.5,0,0,0,79,0,1196.5,14,0,0,57.5,0,0,0,230.5,0,
MF0087,9300.5,1174.25,2655,2166.34,29321.26,14819.59,25627.66,3633.5,1447.59,23194.42,16662.5,13032.42,3245.41,5393.09,12404.16,6858,1275.49,13217.91,1177,22600.58,29674.99,11659.83,3888.75,3129.5,4756.92,19538.25,8977.83,8360.99,4851.75,22278.58,20178.58,19219.82,9697,8295.09,4907.42,3625.84,5074.08,39906.41,19242.58,2457,1036.25,11778.42,15070.92,4692,18803.01,4037.5,1043.67,827.75,10492.41,10742.93,4223.5,2108,6907.83,2838.75,17645.01,4090,11240.92,7344.33,12184.59,4136.25,24275.01,31305,3730.83,1950.49,3538.25,3061.91,29231.75,16712.42,556.83,31201.75,4638.17,31628.75,15375.34,13262.59,1973.5,748.42,4583.43,4080.67,3463,2395.83,8899.41,753.41,11517.59,3496,1722.33,2884.59,3506.5,23208.675,3395.75,948.85,16695.91,3408.83,
MF0044,82853.89,34843.61,5543.83,26407.08,115253.33,54562.63,61005.87,126299.92,118133.57,82834.1,84491,57702.77,48311.53,114506.14,30710.79,34574.8,15794.28,58396.81,100269.15,23354.5,72132.29,163991.7,61291.32,43545.45,159045.44,52134.67,44233.99,42708.01,9998.49,89620.72,51971.33,278581.89,27304.9,37827.89,15801.8,22149.08,10279.91,50055.14,67212.38,15826.85,3069.51,54339.06,97157.89,15251.26,28040.41,54396.86,45505.81,7112.31,99041.8,51253.69,16026.33,32222.25,16713.2,21827.25,36442.66,9645.1,41157.7,47064.78,76031.92,15263.82,94114.67,95520.74,17331.36,9326.27,64307.16,39794.99,61085.22,30538.65,17138.65,82794.74,21264.33,58954.55,56283.42,63934.49,4134.44,30038.31,21921.07,21600.89,155165.9,73428.37,35877.83,43125.31,64100.43,14789.87,13912.32,42282.72,51261.08,30544.51,34611.23,8701.87,61271.1,42687.67,
MF0088,1811.89,271.7,1.79,770.28,686.16,636,148.87,3112.63,748.32,423.46,10805.65,1027.94,1061.5,2837.98,144.08,631,822.75,5007.07,408.03,1725.64,113.33,421.19,1004.32,438.03,247,101.18,1813.83,3018.58,11.83,12287.63,561.18,114.14,4758.45,257.68,203.18,1223.51,174,494.83,19008.36,297.22,1,180.99,43.5,89.5,1773.2,441.75,758.51,105.6,442.76,6743.61,263.33,347.33,401.65,79,291.75,1.75,5528.55,1539.56,219.02,232.62,572.73,9601.2,405.25,318.92,1849.9,1825.96,421.58,58.25,222.26,312.1,448.1,137.5,618.32,2533.33,0.29,473.09,1121.07,67.87,202.75,465.75,106,123.47,816,156.74,27,524.03,676.64,627.23,753.81,630.12,13391.89,1027.41,
MF0052,18.25,61.75,2655,157,136.25,1.5,0,133.75,2,2,76.25,3,77,99.5,0,59.5,10.75,5,22,58.75,0,82.25,86.75,191.75,2.25,36.5,0,27.75,4851.75,0.25,3.75,0.25,1183.25,3.5,167,305.25,0,1.5,41,15,0,13.75,1.5,22,63.25,2,50.5,9,2,490,4074.5,1.75,0,0,10.25,4090,3.25,23.5,1.25,4038.25,1.5,2,0,0,19.75,28.5,0,16,74.5,44.75,12,0,5.5,3,1973.5,4.5,52.75,4.25,2.75,0,0,40,2.25,10.25,77.75,52.5,147.25,0,60.75,49,1.25,127.5,
MF0096,4528.4125,1451.68875,2684.89875,1649.505,16082.08875,6551.75,10218.33,3880.60875,9460.445,14091,13544.72125,11332.1975,7999.56375,12446.39375,5981.79,6007.375,1643.6875,8910.34625,5834.65,9993.98875,12418.1675,3972.55,2980.61875,3227.0075,2473.6875,950.97375,10377.27875,7299.92125,4875.64,15624.57,7365.00625,14487.035,8697.1375,9235.59875,3154.38875,2479.965,2252.75,8825.54,23056.315,3458.80125,505.9975,8910.5925,4366.625,2497.7475,5845.315,3389.60125,4481.24,962.9575,2590.0675,9012.19,4859.35125,1339.6025,1560.2775,1300.03125,6207.065,4090.5,3571.45,3597.185,3743.97625,4948.15625,12135.145,15354.58,2445,819.0075,3607.585,2667.695,9896.915,6525.08125,1108.0025,14888.5775,7277.02125,9074,10869.82,13014.05125,1977.6875,4268.585,2894.215,1770.6425,1521.4375,3495.685,5201.4975,870.8075,3345.75,2738.5925,2952.31,11389.925,4525.39625,5370.3125,4562.68375,1199.1975,10321.6925,2461.1175,
MF0097,672,432.5,0,522,5842,3717,811.5,1640.5,1648,2382.5,1339.5,2101,1231.5,12128.5,528,1081.5,426.5,1494,221.5,4297,464,469.5,486.5,587.5,414,838.5,762.5,3495.5,0,2914,2051,1646,894,719.5,778.5,798,923,1133,912.5,1481,377.83,257,75.5,114,1677.25,3673,675,214,3339,1988,330,1186,438,364,1040,0,1291,621.5,2575.5,211.5,291,3835,913.5,219.5,1169,451,828,134,417,2044,2260,1797.5,889.5,426.75,0,362,631,594,366,686,727,117.5,5692,375.5,345.75,2341.5,1181,308,1577,261.5,1710,731.5,
MF0050,41065.83,18222.915,2749.27,12546.95,72671.63,24667.645,39183.375,66477.645,62253.83,51159.905,32516.045,25688.91,16439.51,65463.28,14842.98,20406.57,7499.395,22881.54,44471.06,15826.22,41631.23,80697.925,33279.2,31210.63,78615.26,26162.83,18487.08,20495.01,4985.58,33212.545,23651.79,145352.175,12969.225,14443.06,7421.855,12568.5,5587.54,27581.155,28643.095,6594.27,1503.84,28160.995,51021.61,8243.215,15313.52,24651.015,21549.465,2901.19,48993.52,18580.535,8613.165,14922,9894.65,9249.375,18827.49,4837.925,17962.065,34086.32,54963.03,8046.85,68900.635,41808.935,8960.14,4817.925,30401.34,17233.685,32822.275,16137.325,7890.445,51737.74,10065.95,41333.525,25563.755,27952.79,2064.91,18217.59,10868.415,15737.255,76859.45,36684.48,17239.92,22434.71,30735.295,6992.235,7035.58,10611.01,23395.845,16148.885,19787.67,3996.785,19095.65,21426.21,
MF0094,8127,895,13.25,1334.5,29017.25,14423.25,25381.5,2294,1127.75,22708.25,5465.75,11463.75,2193.75,3562.5,12219.5,6517,465,4707.75,811,1295.25,29580,11260.75,909,2651.5,4487.75,19306.5,6228.5,5345,5,9403.75,19184.25,19021.5,11013.5,8087.25,4706.75,2640.25,3167.25,39346.25,20537.5,2211.5,514.25,11629.25,15047.75,4588,9278.5,3872.5,416.5,833.75,9641.25,2992.75,545.5,1652.25,6874.5,2729.25,17268,2,5022.75,6143.5,11891.25,709.25,23699,14215.5,3066,1611.5,1611,972.75,28979.25,16685.75,410.5,30778.75,4347.5,31249.25,14803,9638.5,1,224.75,3555.75,3960.5,3338.5,1977,8714.75,691,10543.25,3336,1664,2428,2851,20529.5,2784.25,375,4083.75,2579.5,
MF0051,39229.05,15947.9,2720.5,10630.06,9359.2075,4361,33388.775,54807.91,53259.125,37640.05,13067.175,15204.565,9066.3,30736.95,11634.275,15552.985,4979.025,10178.3,42927.465,6720.9275,44908.4,72754.625,28762.45,9910.45,74300.55,15707.825,6856.5575,8655.225,4963.25,9660.19,13184.41,140464.36,15991.75,14612.925,5211.475,7021.535,1283.25,33833.45,34772,3421.075,1440.8,30062.125,53829.4,9035.3,8486.25,17017.475,17945.615,2124.6,33314.6,6243.47,6509,8588.625,4408.825,4686,21169.025,4798.8,6856.075,16041.375,24318.725,6124.25,42540.85,10263.81,4812.1,3935.05,27213.975,14753,28275.025,22513.075,6902.15,38784.15,3993.26,35742.9,22280.425,9991.0175,2060.1,13433.9,7661.75,6841.65,74874.075,36435.025,15338.8,19992.475,5171,5853.2,4777.75,9651.1375,19124.525,22699.1,7667.725,1656.3,7372.445,16289.09,
MF0095,2853.64,1247.78,1358.685,1552.36,16545.24,8226.5,3664.12,3880.63,3966.07,6134.96,11850.57,9782.69,8268.67,14466.8,3695.58,3122.25,1399.75,9297.57,6523.53,2743.5,1982.375,3209.52,3170.07,2125.53,2060,954.02,9705.91,7940.66,2459.865,18880.95,6797.01,11266.705,5523.2,10550.27,2573.26,1509.51,2617.75,1388.16,39745.665,4077.72,264.495,2082.24,510,296.745,3365.65,4441.12,3436.03,913.02,1805.52,10546.66,700.83,1453.25,494.48,977.75,3124.38,0.5,3883.19,2297.31,2544.655,730.87,536.96,14320.12,1667,585.59,2984.48,2413.46,3353.08,224.16,1169.34,8865.85,7091.85,2555.625,6134.82,13030.91,993.68,414.42,2312.99,611.49,1421.75,973.245,3391.08,366.64,2838.25,2013.99,1999.58,14571.2,4497.64,531.215,4544.64,1100.54,13958.14,2245.58,
MF0092,166485.67,47831.5,2800.79,28139.34,108398.92,41934.09,203254.83,304259.01,320555.59,250771.75,77961.42,103680.58,47549.25,312337.01,79067.83,114484.34,27744.49,66708.41,173302.99,18071.86,255476.66,303051.08,125577.18,78215.33,306032.42,82688,28168,71570.16,5099.91,48334.59,71808.92,696563.83,40198.5,79539.59,22380.25,42027.09,23778.08,154310.08,77174.33,11694.67,5433.75,153404.25,227330.42,44216,51679.84,78080.5,98802.5,9913.25,172489.58,26447.93,14791.5,43075.25,38826.33,25842.25,108279.01,5600.6,43032.26,209393.33,190409.59,11783.58,307062.34,89956.5,30563.33,18478.66,118081,55989.91,161461.92,96083.42,26104.5,218348.58,40924.5,215136.75,125013.84,69996.17,2151.32,120147.92,35496.59,52381.34,303436.5,159088.33,82410.91,41116.33,51085.59,30690.83,25133.83,20034.17,85116.5,90920.51,17687.75,10781.18,39880.64,66656.49,
MF0093,831.125,1424.375,0,531,221.125,146.25,0,5666.875,5449.5,5797,71.125,2120,177.5,12059.75,0,3596.25,681.375,1160,57,221.875,0,363.125,1002.875,1326.875,147.625,34.25,0,1715.875,2427.375,40.625,680.375,10260.125,622.125,1974.25,381.5,1009.125,0,2655.75,42.5,89,0,2448.375,1607.25,550,1213.625,80,1420.25,130,1311.5,301,2274.25,45.875,0,0,2589.625,2055.5,14.125,9266.25,4836.625,2155.625,7521.25,945.5,0,0,188.875,88.75,0,895,61.75,5197.375,1881.5,0,1630.75,1410.5,0,3540.25,817.375,1143.125,126.375,0,0,39,0,752.125,481.375,41.25,403.625,0,53.875,108.5,18.625,185.25,
MF0090,75744.85,34623.05,2808.5,21887.87,61088.85,18155.5,64223.8,125744.89,118309,81261.6,59500.24,41239.44,38386.37,126415.91,21673.8,35234.97,11940.55,28126.57,89111.72,11867.73,76831.8,180059.48,61432.2,40092.9,163954,64872.26,16355.08,31450.33,5084.25,20764.12,31213.01,283302.72,16216.5,25992.6,10925.09,17967.82,6938.5,43554.9,42007.05,10616.39,2649.6,54366.75,98800.3,15120.1,16293.25,60530.58,39385.23,5541.18,116008.94,12457.2,10422.5,35890.85,11474.4,19798.75,32174.05,5557.35,30647.56,54332.75,75297.45,9372.5,106785.7,35691,11458.95,7699.6,57713.23,35822.23,48220.8,31001.9,15528.02,77802.55,16449.68,66086.8,40738.1,32202.74,2148.7,34454.05,16427.25,21110.8,158281.75,71951.8,27460.6,41964.7,30253,11329.65,9984.75,20029.81,50482.6,28802.2,24526.45,6850.12,25031.89,43254.18,
MF0016,1799.31,298.28,2664.5,1067.83,1341.58,11983,437.5,2029.55,2547.5,713.5,5851.99,2778,4347.17,10926.17,237.5,417,685.25,8690.5,257.5,1313.42,187.17,522.27,465.25,501.86,776.25,120.76,1429.83,1657.58,4872.58,7607.92,5118.58,768.08,5020.95,867,1171.33,1309.25,626.5,218.5,20364.86,1073.5,122.83,143.82,19,369.33,2304.75,4570.83,1004.7,1180.83,7788.5,8084.83,4296.5,3593.42,137.57,3916.5,2976.42,4097,1898.92,637,2367.75,4185.29,114.5,3699.87,2487.5,361.67,742.48,723.5,437,510.83,722.83,521.25,792,1529.5,365,1488.24,1979.83,514,1037.65,287.75,170.75,201.83,4140.83,181.56,11620.25,124.25,499.58,749.53,1073.75,636.33,444.14,603.67,4907.64,538.83,
MF0017,79967.06,18103.78,2850.04,13376.11,102062.16,36983.59,68376.2,129928.3,123410.91,88805.71,62203.49,49185.36,34620.17,114523.41,30850.16,36193.25,11761.24,39123.98,93251.86,21997.7,81843.91,158667.6,60450.25,42756.86,156492.42,51680.51,31144.41,35092.32,5112.41,54905.55,42355.09,291178.71,21649.2,33569.52,12001.76,18611.76,10180.58,53695.91,54429.94,9246.14,2063.08,53105.99,99815.92,15536.33,25226.59,45239.33,43705.37,5159.93,90026.34,29388.87,11423.33,25827,17092.4,16960.5,36476.18,5503,30261.98,62652.64,82183.36,10562.45,107924.07,69555.12,13569.08,8226.75,60062.23,31287.37,63692.25,31554.25,14255.34,85417.68,19042.85,68842,53197.91,48716.83,2136.12,35420.13,15816.33,22883.96,153464.25,73138.66,33028.99,21576,42993.84,12055.57,11363.66,23807.12,46409.14,30831.32,17936.89,6863.97,38930.05,36788.41,
MF0014,66169.38,15302.45,2796.895,9014.755,15612.91,11003.585,24876.1,122355.93,91013.995,26795.06,32778.245,17388.71,19550.525,93758.155,9843.54,15633.335,7067.955,19815.445,85240.345,10007.17,31018.665,142857.755,54888.015,14875.42,147711.5,31335.755,5915.585,14749.625,5078,16463.55,14730.59,256206.755,8872.2,17624.26,4788.705,8188.72,4425.415,11218.665,19546.595,3377.53,390.75,22506.91,81057.75,5931.165,8195.735,35639.875,33430.95,3159.35,71253.715,9689.84,8655,19621.825,4417.61,10942,15229.295,5471.5,17550.95,44190.755,42288.945,7788.885,30181.55,16905.865,3322.665,4861.86,49902.025,26903.61,17844.125,5512.375,12492.965,25881.88,7521.38,22430.5,18548.245,14042.68,2129.645,18010.355,6525.185,7647.895,148458.375,60273.04,15819.25,17864.035,19169.75,4764.285,4304.165,8147.555,38020.455,8501.905,2532.17,3578.955,18627.91,29297.85,
MF0058,143.5,141.5,5310,387,310.5,44,16,397.5,76,41,545.5,75,287,305,15,177,100.5,665,81,210.5,8,197.5,247.5,432.5,14.5,78,54,421.5,9703.5,1128.5,45.5,20.5,2366.5,22,346,718.5,6,49,82,67,0,52.5,3,52,315.5,20,224,29,39,1551,8167,37.5,3,8,49.5,8180,381.5,91,34.5,8096.5,38,604,38,45,180.5,121,18,35,171,109.5,52,16,78,74,3947,73,176.5,13.5,11.5,6,21,83,50.5,38.5,155.5,124,390.5,70,197.5,142,648.5,363,
MF0015,77604.52,33311.8,2825.75,23996.12,91813.52,32970.29,62580.38,116800.99,165420.34,115696.85,53701.02,50498.05,28546.35,84215.16,33726.88,47652.97,16182.79,37339.01,87302.76,18633.88,106333.46,158821.33,59028.08,45430.98,156252.52,51193.9,22596,36549.86,5098.25,44371.87,36849.15,278143.46,16768.75,23024.94,10833.2,23030.32,6561.08,50759.48,28917.33,9609.32,4325.35,83732.25,97783.22,23191.6,21615.09,44328.95,49523.57,4912.45,87035.78,24115.13,11251,25699.75,22959.48,16282.25,29334.31,5544.1,27099.41,52619.08,77088.04,9952.33,140637.04,56979.5,18432.03,9035.26,65675.2,33443.41,77931.97,47139.07,14761.3,69066.13,10838.3,55205.05,71091.19,38031.42,2149.7,60694.22,18554.34,25173.39,153520.4,92106.63,33352.51,42918.28,39634.84,15267.48,14204.58,17640.57,43079.8,28341.71,27957.95,6851.28,32143.41,38972.26,
MF0059,18.25,61.75,2655,157,144,3.25,0,133.75,2,2,76.25,5.25,77,102.5,0,59.5,10.75,5,22,58.75,0,82.25,86.75,191.75,2.25,36.5,0,27.75,4851.75,0.25,5,0.25,1183.25,3.5,167,305.25,0,1.5,41,15,0,13.75,1.5,22,63.25,2.75,50.5,9,2,490.25,4074.5,1.75,0,0,11,4090,4,23.5,1.5,4038.25,1.5,3,0,0,19.75,28.5,0,16,74.5,44.75,12,0,5.5,3,1973.5,4.5,52.75,4.25,2.75,0,0,40,7.75,10.25,77.75,53.25,147.25,0,61.5,49,1.25,127.5,
MF0012,1407.25,551.75,5310,1173.42,1071,879,4163.75,2203.42,28554.25,21648,3238.25,6907.33,1335,4033,5000.75,9848.67,2468.5,2984,346.33,688.5,18666,1408,1644,3840.75,1081.5,268.75,330.5,6063.5,9703.5,4096,318,8456.67,2376.5,207.75,355,3429.42,238,1831,639.75,282.75,866,16878.5,1012.5,4522,1488.25,864.75,6308.33,150,1416,2779,8155,1202.25,4295.25,204,358,8180,2137,6112.75,3355.25,8077.5,24323.5,2384.5,3468,652.5,5057.25,1165.5,11783.75,8918.75,304,553.75,555,329,13501.75,1655.5,3947,16390.5,1325.75,2637.25,526,10234,3147,2030.5,708.25,2055.75,2220.75,620.75,914,312,389.5,664,5722,1929.83,
MF0056,1487.89,119.7,0.29,299.95,494.66,317,106.87,1867.55,140.82,549.96,4230.65,415.02,580.75,993.23,134.58,400.67,360.25,2224.07,153.36,647.64,199.33,1313.44,3000.82,266.28,78.5,138.68,3958.83,2187.58,6.33,5222.3,423.85,1206.31,4614.2,98.68,128.68,650.18,30,97.33,21512.86,182.22,6,146.49,147,55,450.7,143.75,394.86,18.6,795.76,3168.11,390.33,285.58,247.65,78.5,47.75,7,1363.05,1325.31,966.52,305.37,339.73,2965.2,260,126.92,814.65,228.46,444.08,36.75,106.26,121.1,88.1,104,350.32,5874.83,0.29,134.71,534.57,97.62,48.25,156.25,75.5,1858.97,404.5,100.24,5,367.28,549.14,472.73,426.81,267.87,3628.39,1535.74,
MF0057,228.955,65.875,0,221.435,186.465,79.75,25.83,726.705,62.035,85.17,2868.455,374,273.66,704.53,11.33,118.25,244.375,1219.5,86.17,740.705,2.83,87.125,209.705,179.045,15.625,98.465,319.33,588.705,1.33,2842.455,66.875,27.455,1379.125,29.75,68.3,361.965,8.5,50.58,249.455,51.83,0,52.045,0,102.5,432.795,73,106.58,0,98.83,2226.5,283.58,86.375,19.5,38.5,40.625,0,761.98,273.75,57.125,323.285,111.92,4029,40.5,66.33,229.375,229.98,14.83,0,48.295,45.045,48.67,22.5,100.75,685.67,0,72.855,231.215,18.455,10.375,71,0,34.33,180.75,32.795,43.375,144.92,222.125,176.83,188.875,153.17,1768.625,434.75,
MF0013,0,9548.8,0,0,0,17015.885,0,33660.375,39462.4775,0,17825.25,0,11015.9525,36368.3425,0,14106.555,4583.385,0,0,0,0,0,16275.8575,0,0,18020.2075,9705.8525,13010.13,0,19070.345,0,80329.595,0,0,0,6945.4425,3813.0825,24067.3475,0,4359.78,0,0,0,0,10754.2025,14625.9875,13030.5325,2010.1625,0,11093.4725,4270.415,8283.995,0,0,0,0,9909.03,0,25616.5025,0,39072.66,22816.1625,0,2887.4525,16864.25,9511.18,0,14447.955,4333.785,0,6885.33,0,0,0,0,13269.42,0,0,39619.9125,21540.72,11868.2525,0,17901.71,0,0,8903.6925,0,13128.48,0,2185.6925,12296.2875,11162.555,
MF0010,110063.805,23034.19,4247.79,17198.095,88174.785,44797.01,64377.95,180470.565,159006.83,84644.125,77131.7,53362.175,45050.805,142316.815,31724.16,36256.17,14214.11,50103.31,135698.02,30695.13,85450.24,229692.875,86642.5,38227.465,229892.88,67240.345,28915.33,39996.695,7648.205,65934.395,49719.635,399383.12,27389.525,38514.44,14044.16,20124.735,10054.495,54018.16,67367.105,10851.06,2174.665,59421.03,136112.005,17469.165,27854.1,64642.915,57951.905,6740.615,125329.09,36277.695,14702.165,37177.19,17164.13,23674.25,39473.225,8215.5,40498.945,63940.005,83086.105,13655.725,93691.105,74241.735,14573.245,10135.63,84587.59,45301.05,65685.92,32653.92,20653.51,77789.885,18459.765,61488.5,58909.33,46231.115,3199.205,37551.465,16791.67,20663.34,227405.125,102668.66,37523.655,30784.235,56562.385,12914.775,12088.535,27572.535,64939.615,32874.395,14875.05,8108.34,50446.605,51434.62,
MF0054,24027.8625,13913.845,0,9429.2475,27346.1925,11209.6225,28748.355,33047.8825,24550.245,27736.2175,16808.5225,14686.4125,9164.7675,31932.5725,9914.1475,11204.8,4111.46,13340.9375,23629.56,7606.3575,29044.71,41361.035,16166.6675,11214.4475,39264.78,13150.31,9595.435,10458.6375,1283.31,17735.1575,15175.0425,81067.4625,13344.9875,12616.5375,5195.2975,6201.955,2807.145,28505.385,35674.95,4498.7275,967.32,16714.1825,32036.63,5164.0075,10522.0975,12775.6825,9869.9125,1939.5825,23998,9753.87,3185.79,6831.67,4253.3,4367.75,17806.445,1407.05,8575.645,16074.9375,24283.9575,2993.2925,32743.125,22184.905,4276.1825,2988.3925,15309.595,9900.1825,22036.17,13949.0125,4388.3,37355.97,5515.0125,33265.025,14652.92,14776.6775,543.2025,5113.4225,7638.15,6811.6075,38867.1375,16954.065,11834.4225,16212.185,12335.085,4878.1525,3738.29,9547.3,12285.1325,17933.3875,11472.0375,1742.8975,11052.585,11233.28,
MF0098,531.89,125.8333333,2.5,369.6666667,645.89,3038.78,375.61,587.2233333,638.9466667,239.3333333,1514.556667,1314.39,1617.166667,1314.17,135.2766667,313.3333333,263.1633333,2758.053333,347.2766667,892.2766667,41.38666667,84.94333333,123.8933333,268.11,177.89,36,779,969.3866667,1.5,2739.333333,1423.943333,1230.83,662.8333333,348.78,573.6666667,486.8333333,224.61,171.9433333,697.61,547.89,32.66666667,142.1666667,40.39,236.5,1065.446667,971.3333333,403.78,430.6666667,1176.943333,2597.56,151.6666667,420,67.27666667,835.3333333,734.0033333,1.666666667,981.0033333,397.7766667,619.4466667,116.61,59.44666667,1925.666667,489.61,155.8866667,452.1666667,374.5533333,135.39,145.5566667,292.1666667,575.4433333,592.6666667,359.8333333,392.9466667,1241.75,0.3333333333,158.7233333,486.1133333,69.61333333,42.83333333,30.77666667,795.3866667,28.61,1021.446667,166.4433333,553.61,362.5566667,530.1666667,271.67,263.6666667,207.3933333,1639.386667,243.7766667,
MF0011,41848.58,11049.09,2752.77,7843.435,54904.88,21020.545,69871.5,72324.935,68945.49,52103.155,34243.42,29006.245,20036.135,75018.355,31736.46,23197.335,7335.37,24808.775,46984.645,19368.325,47042.105,81479.22,33180.97,23269.63,78861.01,26111.095,16683.455,22329.01,4990.995,32857.71,23909.08,157360.84,11808.225,19541.56,7309.71,11127.725,11220.08,30110.705,29120.595,6086.765,1160.04,30054.155,51708.11,8506.915,16031.395,23829.29,24206.55,3049.44,47253.135,18953.035,7998.415,13762.24,10077.225,17742.25,21944.215,4826.675,18073.44,41433.82,46653.665,7437.6,61910.915,40651.31,7756.04,4654.07,31231.09,17114.465,64740.05,16889.75,7715.26,49213.74,12795.825,69867.75,29065.005,26766.04,2154.32,21514.295,9739.43,12833.25,77388.075,37114.08,18851.12,11639.98,23187.795,7635.57,7007.83,16210.635,24676.22,17092.935,10633.325,3904.035,23098.525,20239.475,
MF0055,6418.25,4049,2698.25,4390.26,5612.51,26596.84,12888.41,18872.34,16331.84,15074.67,22253.25,14128.83,12023.33,57240.59,4796.91,9295.34,4307.49,24362.41,1263.16,14249.16,11664.49,3078.58,5310.26,5071.25,2554.92,651,2588.33,13445.49,4890.41,37375.42,14142.67,23803.66,3507.5,6593.59,3494.42,6989.18,3884.83,6554.66,1580.08,2832.25,382,5527.67,3477.17,2162.5,12004.26,14089.08,6211.83,1953.58,25525.66,26032.26,7251.33,9211.92,2430.08,7383.25,10596.18,4146.25,12380.17,22587.08,16577.84,6848.91,16233.01,33651.5,7135.33,1868.49,5397.75,4327.66,7087.25,3045,1877.66,12480.25,5974.67,17223,5318.59,4892.84,3952.665,9041.17,5816.93,3539.42,899.5,1670.08,9898.74,2194.16,33376.09,1998.25,2284.08,2184.84,4950.5,5713.84,2037.5,2736.35,24931.41,3697.74,
