#OTU ID,LYZdtt307,Lyz2.01B.FP211.S59,Vil1.07B.DTT83,LYZFP331,LYZdtt319,Itg.10.FP459.S61,LYZFP319,Vil1.02B.FP23,Itg.04.FP423.S23,LYZFP307,Itg.22.FP519.S22,Vil1.03B.DTT35,Lyz2.02B.FP223.S71,Itg.26.DTT543.S39,LYZFP355,Vil1.05B.FP59,Lyz2.02B.DTT223.S63,Itg.20.DTT507.S2,LYZFP343,Itg.22.DTT519.S14,Vil1.09B.FP104,Vil1.08B.DTT95,Itg.18.FP495.S98,SLCdtt149,Vil1.04B.FP47,Lyz2.08B.DTT295.S137,Lyz2.03B.FP235.S83,SLCdtt167,Vil1.013B.DTT155,Lyz2.06B.DTT271.S113,SLCdtt053,Itg.10.DTT459.S53,Vil1.04B.DTT47,Vil1.13B.FP152,Itg.06.FP435.S36,SLCdtt113,Lyz2.07B.FP283.S81,SLCdtt005,Lyz2.07B.DTT283.S125,Vil1.01B.FP11,Lyz2.05B.FP259.S56,Lyz2.01B.DTT211.S51,SLCFP149,Itg.12.FP471.S73,Lyz2.06B.FP271.S69,Lyz2.05B.DTT259.S100,Vil1.010B.DTT119,SLCFP023,Lyz2.04B.FP247.S44,SLCFP053,Vil1.05B.DTT59,Itg.02.FP411.S11,Vil1.06B.FP71,Vil1.03B.FP35,Itg.18.DTT495.S90,Itg.20.FP507.S10,Itg.08.DTT447.S40,Itg.24.DTT531.S26,SLCFP167,Vil1.09B.DTT107,Lyz2.03B.DTT235.S75,SLCFP113,SLCdtt077,Vil1.14B.FP164,Lyz2.08B.FP295.S93,SLCFP005,SLCFP131,Vil1.01B.DTT11,Itg.24.FP531.S34,Vil1.014B.DTT167,SLCdtt095,Vil1.10B.FP116,Itg.08.FP447.S48,Vil1.06B.DTT71,Itg.02.DTT411.S3,Itg.06.DTT435.S28,Itg.16.FP483.S86,Itg.04.DTT423.S15,SLCFP077,SLCFP071,LYZdtt355,Vil1.07B.FP83,Vil1.02B.DTT23,LYZdtt367,Lyz2.04B.DTT247.S88,Itg.26.FP543.S47,SLCFP095,LYZdtt331,Itg.12.DTT471.S65,Vil1.08B.FP92,LYZdtt343,taxonomy
MF0002,151456.28,243815.91,2504.75,34648.57,34276.53,104032.89,110696.19,57759.59,288567.25,87182.43,107593.16,9027.83,229775.32,15380.68,66695.65,173709.87,73987.91,29788.27,197948.25,36957.79,25833.39,6000.5,76195.25,233810.09,63712.32,13001.25,199032.18,223744.85,31136.15,20485.95,29141.74,58677.39,7602,53118.8,94649.18,22798.91,38545.5,23642.75,6746.78,97426.82,7623.66,48912.75,67440.18,58706.5,25649.5,9160.41,17108.95,10270.66,32594.16,36730.61,3344.25,97813.16,74813.28,104821,27016.7,109524.5,37250.74,30264.83,41927.2,11999.46,77231.4,6428.25,86961.76,41241.05,46834.16,64313.91,39336.25,45786.84,80485.75,12544.35,44144.69,25068.79,52138.09,3437.5,41680.41,106588.73,65212.91,171713.45,57646.25,51128.93,92074.82,60538.82,23745.97,39626.95,51845.3,58065.35,106421.5,16224.52,23660.89,81840.22,27152.82,
MF0046,41830.23,5041.41,3624.75,1920.24,19482.68,63018.57,169590.82,28908.33,28076.75,31912.67,47300.8,2757.8,4770,12607.55,4643.34,16634.12,4937.67,6154.14,2905.85,15233.32,9091.71,8831.16,24931.99,24279.14,7649.42,1304.28,41874.75,47421.96,2231.79,10560.54,10755.74,22982.03,2453.41,36831.33,10765.75,14628.83,1027,16110.67,2084.94,3481.92,6734.25,7670.28,6249.82,28886.16,13140.1,7961.03,16484,4554.75,27111.36,9636.28,4382,58054.24,4962.53,41911.14,13653.22,21091.49,19981.92,49454.57,28250.61,10571.44,13205.39,2684,4989.14,10707.19,1153.58,33571.58,5444.08,2310.91,94898.25,17080.01,9835.43,14852.32,27750.25,6280,15386.99,8637.03,7672.32,17749.75,4941.75,13005.08,3654.66,2044,9280.11,16968.61,18962.36,28673.67,28086.08,6516.97,13817.35,6075.29,1335.43,
MF0043,0,0,0,0,23.625,88.5,0,39,95.5,0,39.5,0,0,32.5,0,88.75,0,30,0,0,151.75,0,0,2247.375,108.5,0,0,69,0,67,148.5,25.5,0,586.125,63.5,27.5,0,53,40.75,0,0,0,159,191.5,0,0,4.5,69.5,0,223.5,0,0,977,12.5,80.375,88,73.125,42.5,462.5,20.5,39.5,38,0,309.875,0,148.5,351.5,0,16,65.125,0,302.5,57.5,0,0,63.625,354.5,85,0,124,0,1178,0,0,0,0,0,0,29.5,0,0,
MF0087,3547.17,4749.91,1810,14800.59,426.92,39231.23,2592.42,12612.42,56971.75,2637.51,53192.41,540.16,4724.66,3576.92,21874,10393.17,527.75,4044.74,28264.66,13918.34,13702.65,4408,58065.58,34348.84,29686.16,162.25,752.09,7742.75,16808,3170.17,11353.92,10713.34,2264.33,27975.5,4532.34,5535.08,3468.75,6170.75,664.08,4088.41,2920.08,2637.25,13071.17,29458.33,6837.08,3844,5878.5,5670.83,286.08,14767.83,2175,60417.16,17488.98,7017.25,12844.58,13383.58,10443.41,10097.26,18105,4884.25,265.66,1545.25,1381.51,22712.6,1684.83,34788.08,11050.5,464,37140.75,5695.33,12883.42,12910.99,20894.92,3140,14825.66,3643.74,19036.74,23021.24,1868.5,13665.59,2237.67,8230.74,2983.09,3794.18,2589.67,22171.82,57244,5643.01,5133.75,30766.08,3496.58,
MF0044,97427.74,130110.24,3981.25,143466.89,25372.58,92379.45,130458,61521.95,176985.3,68756.01,88972.43,6544.91,125535.77,33867.72,53047.17,99583.43,47392.76,24037.08,117159.3,30575.36,55761.35,9696.74,70213.91,185897.18,58437.26,9261.2,116736.03,142987.01,27898.61,20141.27,34202.55,44226.55,8805.43,96692.55,67402.68,23007.47,28203.5,20893.29,7167.61,66864.16,8946.91,32720.6,59394.45,58441.43,23206.1,14180.1,19057.54,11957.86,22764.67,36641.82,5044.9,131368.87,74250.6,68470,26992.59,96028.86,37223.74,28605.76,43698.39,14781.15,48073.96,8144.45,50105.45,59738.66,29449.74,62356.27,38445.56,28150.39,72648.5,12050.28,27600.35,53968.27,44592.39,6407.5,33369.47,66029.48,70834.07,106216.03,33480.6,43373.89,56745.29,48095.91,22986.42,59967.46,37395.87,60491.4,82408.26,37549.57,22722.66,91650.42,31676.55,
MF0088,3354.55,478.33,0,262.28,209.69,823.66,908.67,201.5,112.5,1318.42,189.4,480.2,487.75,16607.94,61.58,1255.12,254.71,980.4,631.31,275.05,4218.69,17.79,259.37,11003.52,267.75,136.75,267.43,3814.78,820.76,564.37,217.11,228.29,119.08,22952.98,176,35.5,89.25,924.75,519.82,676.5,112.5,930.43,573.87,391.83,312.51,247.6,84.89,59,157.18,616.45,51.75,541.62,5945.59,7020.28,1644.71,2331.37,1077.96,372.07,94.24,136.87,310.57,66,621.23,3891.06,240.79,53.5,391.75,197.87,841.75,526.18,38.6,5724.57,208.5,0,52.37,1083.43,786.41,1628.24,337.75,108,250.03,851.04,687.32,1499.48,1650.29,4600.61,49.5,909.82,151.45,22658.18,406.13,
MF0052,195.25,3,1810,88,87.25,1.5,42.25,4,2.25,85.5,0,211.75,0,352,27.75,11.75,23.75,64.75,93.5,34.25,1.25,4408,0,0.25,1.75,26,1.75,0.25,483,63.25,3.75,21.5,402.25,61.5,0,9,1.25,40.25,409.25,3.5,0.75,2603.25,5.25,0,4.5,32,5852.5,0,1.5,0,2175,0,15,75.25,106.25,2.5,101.5,152,1,4863.25,38.75,0,13,2,7,52,0,121.75,3,184.75,0,4.25,0,3140,12,62.75,2.25,69,0,0,62,0,165.5,44.75,69.25,3.5,0,106.5,13.25,0,54.25,
MF0096,5509.27125,3001.2575,1818.65625,2688.61875,896.3,18492.58,5580.3975,10834.2475,15883.25,9423.625,16604.0475,1054.84625,4002.625,3844.1525,6457.305,8041.27625,4391.2775,2508.5675,4197.12,5490.405,9344.0725,4428.28125,13685.3925,21372.4175,7064.815,931.4625,7881.3125,13396.97875,6489.0125,3175.9725,9375.675,7052.08,1780.57,31035.9625,6410.5625,5243.7475,1258.9375,4581.565,1800.21625,4868.305,2008.15625,5493.02125,4986.50125,10764.165,2916.835,4467.4975,6189.645,1983.75,2924.68,5713.0725,2175,21334.705,7151.80125,7553.4325,4435.9825,7238.2325,7235.71,5848.3575,10578.8,5225.50875,4639.845,1365,2339.71,9192.5625,834.71125,14902.3725,6995.1225,1996.00375,15371.9375,1992.5775,2662.0975,11908.9875,7199.75,3144.625,5257.205,5127.06875,8804.85875,8652.0725,2132.125,7138.4975,2863.55875,4461.32,3900.7825,15271.2,3145.265,10108.8375,14154.9975,8526.51,5033.3475,7075.26375,1652.39875,
MF0097,2274,400,0,1214.5,356.5,740.5,3558.5,2522.5,205,7212.5,2115,149,532,754.5,345,1956,155.5,700,1460,449,1987.5,32,1123.5,14244.5,4124.5,198,1983,1000,2114.79,1079.5,1798,236,245,2400,2180,215,805.5,140,418,5180.5,1047,931,8189,1474,2650,1659.5,152,718,343,1596,0,3068,4964,532,1597,5641.5,1175.5,323,4516.5,170,230,314,253,1780.5,1476,394,2306,330,454,405.5,86,1563.5,1027,11,446,857,5617,884.5,1206.125,791,264,3905,513,2936.5,1225.5,1227.5,77,2657,329,2805.5,474,
MF0050,53331.345,63478.455,1994.375,130558.095,14150.2,53930.315,74220.735,27724.225,95712.9,36952.17,53448.64,3762.57,60425.555,17447.425,22855.38,54597.37,19321.07,11140.665,60986.08,17393.07,29339.42,4846.31,40485.685,83904.285,29117.59,3803.925,60864.095,69773.365,14730.34,10472.785,14060.8,23556.38,4120.09,38816.45,30301.545,11590.905,12272.125,11848.81,2940.765,29968.915,5469.04,15812.625,29315.745,31224.715,13557.045,7056.63,10561.53,6378.265,15235.83,16783.23,2504.575,91720.625,35475.05,41303.33,15008.855,42923.785,18002.355,23822.095,25629.66,7628.475,22377.57,3880.725,23275.395,31360.04,14379.31,34319.18,16527.115,12878.755,55251.125,10028.215,16362.125,25349.985,26100.61,3215,20034.55,30809.57,32276.62,57346.905,16072.8,21034.36,26572.01,22657.06,11090.125,13925.15,19841.585,29591.53,48119.715,22145.33,10827.81,28517.585,15407.63,
MF0094,3816.5,4558.75,6.75,14605.75,293,38931.75,1479.25,12022.75,56880.25,2291.75,52714.25,364.5,4543.5,19139.25,21591.5,9071.5,442.25,2574.75,27454.25,13730.75,7273.5,22,57952.25,43217.25,28913.5,173.75,772.75,5440.25,17346.25,2565,11074.25,10573.5,2165,31241.25,4118.5,5464.75,3186,6021.25,603.25,4042.5,2736.25,1188.25,13136.5,29126.5,5908.25,3814.25,931.75,5536,131.75,13883,52.5,59523.5,9012,2593,10327.5,10481.25,9636,10005.25,17751.5,762.75,382,1393.25,802.5,15892.5,1444.5,34720.75,11097,449.5,37863.75,5447.75,10302.75,7380,20633.75,1.5,14735.5,3043.5,18826.75,20984.25,1620.5,13497.25,2045.25,7447.25,2472.25,1715.25,929,17443,57107.5,4780.5,4977.25,6130.75,3192,
MF0051,33497.74,61499.25,1981.5,4685.165,8277.94,57347.45,24062.775,18621.85,112433.775,14842,66037.4,2363.225,56190.35,11923.7125,11509.425,50699.06,18461.675,8242.5,41787.39,20080.75,7273.425,4790,53512.375,78393.31,22274.8,3045.375,53123.55,56339.6,21836,6484.35,15493.95,25411.4,3612.05,46046.5,19149.625,11714.2,6061.25,12279.475,1668.315,19052.75,1232.125,13849.2,12256.225,28355.3,8657.5,2523.55,9352.875,2827.6,10591.7,15977.675,2461.7,67700.9,9217.6725,29090.775,10634,21170.975,14281.96,17649.1,18182.875,6901.25,20121.04,2089.6,21975.525,13400.5,9791.75,46906.975,15100.825,11675.15,52541.875,6404.75,18598.7,8587.535,24348.9,3203,21468.2,26802.525,9417.375,54897.75,16035.675,22032.4,23656.785,8697.5,7547,12851.4425,13138.775,23048.4,68464.8,4856.825,10635.375,6956.09,12763.65,
MF0095,5426.13,2536.58,920.625,3045.36,863.69,3657.41,6454.75,8206.83,1155.75,11532.5,2654.8,477.7,3399.5,2533.86,4851.91,8785.95,4884.71,2438.67,4447.39,1579.97,7974.02,49.37,1437.74,19401.53,5669.255,1126.35,5685.75,14458.67,1349.18,2718.87,7746.03,1300.29,1110.08,33639.65,6161.25,2010.745,1114.25,653.88,1116.82,6178.755,2367,2190.85,7030.175,4296.33,2155.01,4544.18,331.31,1749.125,444.645,3460.78,1096.125,9696.12,7393.68,1734.61,3499.17,4956.24,4930.96,483.4,12051.48,324.87,3454.82,1126,3384.215,7906.73,1295.685,1038.37,6368.62,2009.29,590.5,677.93,84.145,10391.15,1816.5,0.5,1856.87,4467.85,11264.57,2810.91,1697.625,4892.62,3221.03,5259.94,2666.49,19818.98,1947.12,5420.36,72.62,8312.9,2474.45,9004.52,1460.3,
MF0092,273855.66,255197.58,2153,151811.08,99160.16,350211.57,686720.42,133338.92,492479.25,165309.59,356696.08,15771.49,236024.16,97997.59,67830,234714.34,74839.58,45359.41,201130.57,108648.42,42142.32,5221.62,254033.25,319216.1,110022.16,13478.75,308345.59,340407.25,65744.25,49899,67689.42,135846.67,12616,106873.75,111679.84,64880.58,34741.5,76944.25,6709.41,91421.66,27022.08,48476.75,72083.84,170882.5,70499.75,27444.58,27803.75,23087.33,110179.58,83938.33,2812.4,432118.33,63118.31,254011,79071.5,158692.75,94447.5,203155.09,142123.5,10518.08,106428.82,12983.25,95470.68,85173.85,46052.83,216176.08,62880,46810.67,454353.75,78711.25,98560.92,50538.82,159533.42,3277,121581.33,123220.49,68862.08,262374.9,69587.5,105589.09,93799.09,54601.41,45000.26,35822.92,99812.5,152766.65,316484,30974.01,63649.92,65403.51,27607.66,
MF0093,9365.125,444,0,132.5,4693.625,8797.75,41499.625,3050,6317.125,6511.25,0,520.875,0,9759.5,71.375,3482.875,69.375,854.875,265.75,2746.125,90.625,0,0,359.125,1355.375,61,5604.375,7245.125,243,1421.625,1163.375,2226.25,392.625,95.75,0,896.5,88.125,1689.625,264.625,146.25,1359.375,1636.625,123.625,0,2243.25,1221.5,3870.25,0,4029.25,0,1095.5,0,219,9118.125,2713.625,3678.25,2352.25,9365,5371,2576.125,1619.375,0,392,1155,100,2904,0,112.375,18428.5,4058.375,0,808.125,0,0,3445.5,882.375,468.625,3415,0,0,101.5,0,842.75,39.375,2707.625,3548.75,0,135.25,1289.625,0,35.625,
MF0090,94917.06,129705.08,2170,126004.33,26417.88,99524.9,135214.8,41481.75,185841.8,74407.09,100804.8,7396.79,128551.33,30851.4,50260.66,95802.12,38894.75,19198.81,170347.89,32775,24370.75,5207.5,69645,134341.87,33639.6,7923.61,117571.35,127638.7,24204,16070.95,22581.15,45514.55,5936,49721.9,66108.84,20704.9,25277.5,21885.45,4959.74,73315,7136.75,36740.53,45783.87,47111.6,18362.25,10744.26,14326.25,6337.25,29411.65,24151.6,2781.65,139768.8,34916.76,73442.05,21135,55890.54,28470.67,45402.2,37921.57,9222.25,43497.83,4938.2,45106.07,33881.75,32510.25,65549.95,25336.08,25387.33,107389,17125.5,31920.4,22553.5,43448.8,3277,36999.65,60882.52,29757,103296,31214.6,35611.8,53128.91,46435.38,16190.5,35641.44,33251.05,45296.3,94841.6,20046.25,19777.25,22143.09,25887.3,
MF0016,7503.08,223,1811,269.94,508.75,283,3254.58,4043.33,33.25,9162.33,921.5,466.78,1236.5,648.53,67.41,934.58,237.25,2089.25,440.64,266.05,2986.44,4440.33,72.5,10942.75,5206.42,423.17,1313.25,1885.25,1324.43,602.45,779.92,168.87,646.75,25064.4,7329.5,1091.83,5159.75,489.92,1185.24,7450.17,446.75,3496.85,13531.08,1163.5,1741.83,504.83,5928.73,278.5,342.5,5730.33,2209.5,1381.5,12770,552.94,1657.75,23105,761.5,444.73,582.33,4968.12,517.32,1191,210.83,1685.67,2307.5,708.33,4970.33,721.92,99,491.25,36.33,3534.98,485.5,3151,141.5,1348.42,14064.75,986.07,133.5,3130.83,241.61,4672.17,1519.17,1798.06,1994.45,1074,156.33,499.9,320.25,7396.59,244.13,
MF0017,99626.88,127965.16,2165.5,142018.53,27393.69,107273.48,143069.17,54672.75,188528,63467.34,105031.73,6759.44,121458.66,29091,48993.16,101843.45,42187.79,20337.08,115482.55,34096.89,40619.09,5238.37,80170.12,151826.78,51968.08,7745.1,122776.59,142857.78,25375.93,19406.62,29112.7,46963.71,6381.08,71923.15,57392.59,22243.91,21913.25,23734.42,5009.57,53800.33,9865.58,27892.1,44312.04,61315.33,23411.34,13056.26,14765.56,11342.08,30077.76,31588.36,2776,148472.95,49423.74,82590.61,27073.71,72691.87,36084.37,45607.49,47663.82,9748.7,47066.23,6131.25,47939.99,49899.33,25391.12,66765.16,30045.33,25124.96,107372,18338.68,32242.35,38891.22,51134.67,3280.5,38629.45,61810.09,49508.74,108215.31,32669.5,41137.67,50544.78,37685.62,20196.75,38360.49,37094.62,57283.76,95867.08,30369.41,22648.87,53948.42,16651.46,
MF0014,88399.29,119477.5,2153.5,7965.255,25734.025,37677.245,133107.76,19358.085,125240.375,48499.67,40543.95,5127.52,112014.415,6924.225,22469.24,87397.91,36617.77,13198.02,80896.745,15202.915,8878.26,5189.645,18571.685,90721.01,16388.33,6136.505,101803.835,114381.23,7578.08,9557.7,10880.09,21864.42,3173.5,23660.68,42941.545,4906.915,14254.5,8063.21,2939.76,41236.915,4796.995,24555.715,18830.105,15480.665,10137.715,4861.005,12442.755,1889.165,18593.88,11788.24,2775.25,43203.225,23107.74,71813.97,12042.665,40430.355,14516.48,22515.985,21369.72,8283,39448.655,1347,42923.53,10809.295,20667.23,9398.125,12418.125,22161.395,45382.625,10708.1,21707.685,10371.355,18485,3277,20112.81,51925.085,15989.875,76450.06,26830.375,19068.42,43574.59,22553.02,9340.515,16451.205,25953.96,19001.53,38365.585,4566.04,8414.795,24754.12,11654.02,
MF0058,495.5,22,3620,189,197.5,16,135.5,24,10.5,210,18,440.5,20,774,55.5,125.5,66.5,228.5,206,83.5,200.5,8816,6,88.5,29.5,63,19.5,101.5,966,187.5,23.5,58,829.5,140,29,18,18.5,112.5,851.5,33,4.5,5206.5,38.5,21,23,64,11714,5,18,45,4350,32,687,175.5,357.5,73,298,341,9,9729.5,93.5,6,78,222,34,111,21,252.5,6,402.5,7,136.5,8,6280,31,226.5,40.5,291,0,28,149,37,377,144.5,269.5,196,6,313,42.5,1274,133.5,
MF0015,79366.48,128134.08,2160.75,140955.5,18005.13,136776.97,57406.97,64495.12,178559.3,45281.84,102130.63,6224.19,119917.61,53230.74,44544.85,92956.37,37792.18,20581.66,113868.94,33963.17,35251.57,5233,73770.75,168505.63,47056.51,7296.75,139752.94,143075.2,24371.25,20631.95,20921.57,67701.97,6333.85,39765.75,50811.09,38756.98,21413.75,37878.45,4532.38,51988.66,5991.83,27535.15,50148.54,74078.1,25213.25,8095.33,14292.5,13425.53,43482.98,25457.18,2766.4,116976.13,44398.43,72733.3,22028.75,70221.2,41543.08,50680.79,32554.5,9329.33,48836.99,7917.45,47541.23,42240.85,25527.33,102999.53,25388.15,24326.22,117633.75,11008,27461.32,32695.32,62019.22,3278.5,30750.73,58952.79,43782.08,103740.9,37377.35,41887.89,51101.07,33617.16,24161.76,22553.74,44590.8,69159.7,82259.6,25491.76,30956.92,49283.16,29498.71,
MF0059,195.25,3,1810,92.25,87.25,1.5,43.75,7.25,2.25,87.5,0,211.75,0,352,27.75,11.75,23.75,64.75,94.25,34.25,1.25,4408,0,2.25,3.5,26,1.75,0.25,483,63.25,3.75,21.5,402.25,61.5,0,9,1.25,40.25,409.25,5.5,0.75,2603.25,9.75,0,4.5,32,5852.5,0,1.5,0,2175,0,19.75,75.25,106.25,4.5,101.5,152,1.5,4863.25,38.75,0,13,2,7.75,52,0,121.75,3,184.75,0,5.25,0,3140,12,62.75,3.5,69,0,0,62,0,165.5,45.5,69.25,3.5,0,107.5,13.25,0,54.25,
MF0012,3020.58,1837.5,3620,2325.58,561.58,26275.5,2399.75,11179.5,4225.75,3279.5,9308.75,1039,1623.25,37030.75,191.75,1454.17,411,1713.25,4807.58,3441,1039.25,8816,2914.5,17860.92,296.25,451.5,16363.75,12936.75,966,3428.25,227.75,13250.5,808.5,1456.75,1064.75,9869,400,9816.5,861.5,1508.25,241.75,5206.5,4594,12209,4224,414,11709,2112,10955,478.75,4350,655,2857,13089,1822.5,4669.25,7187.67,12307.5,1381,9727.5,4410.33,1480,1591.25,1275.75,759,21587.75,647.25,928.75,25178.5,1066,75,2149.5,10400,6280,270,1931.75,1232.5,6583.5,3209.75,3759,1805.67,871.75,4035.5,1476.83,8078.5,12607.75,186,1399.75,6664.5,10996,363,
MF0056,1209.38,68.83,0,2800.11,357.02,1150.66,1786.42,118.5,2288.25,969.67,654.4,645.95,95.5,334.94,319.58,5206.79,64.21,576.67,6086.89,253.3,4547.69,0.29,199.37,835.44,278.5,77.68,78,1251.53,623.26,378.37,119.11,256.54,88.33,26076.73,636.75,18,118,908.75,388.15,420.5,29,244.93,226.87,367.33,191.26,95.35,90.64,189.5,75.43,142.95,0,212.12,1943.92,8627.28,496.96,732.37,609.63,389.07,1603.24,84.87,64.15,99,254.98,1253.81,209.29,129.75,117.25,564.12,1064.75,423.43,59.6,6138.32,218.5,0,39.62,977.68,275.91,4895.24,66.75,44,1697.95,322.54,462.82,757.31,668.29,721.11,89.5,1326.57,121.95,3117.68,268.38,
MF0057,593.795,34.33,0,124.67,68.295,28.91,115.625,53.5,0,267.92,32.33,137.045,21.5,269.83,0,143.045,39.545,234.705,149.75,42.795,1039.455,0,9.33,187.8,68.375,26,13.875,120.625,278.5,143.795,28.375,53.92,42.58,171.25,26.5,0,45.125,135.625,252.325,83,10.375,0,67.455,22.33,65.58,26.17,108.705,0,0,72.35,0,26.83,856.33,137.295,341.455,85.475,228.25,121.67,8,146.205,90.035,10,80.83,1753,73,0,39.5,11.725,0,164.205,48.8,1116.795,17.5,0,7.83,162.875,75.285,346.34,0,0,72.17,96.185,182.58,296.045,480.48,962.42,0,290.25,39.455,1493.3,200.795,
MF0013,28331.0375,33844.56,0,0,7232.4225,0,38177.2475,0,0,21357.3575,0,0,32534.215,26813.19,0,29585.465,0,0,36649.5875,0,13308.46,2431.385,0,55635.7825,0,2268.7325,35837.9225,41619.395,0,0,0,0,2729.065,0,0,0,0,10076.675,1821.5575,17890.915,3619.645,8709.4575,20120.81,0,0,4899.65,0,0,10444.3525,0,0,0,19659.25,0,10614.8725,0,0,17101.42,18470.36,0,13238.89,0,12653.11,17549.44,7817.905,31138.8825,12477.6625,6972.1675,0,0,0,12935.74,0,0,0,17176.43,22350.1625,33395.4075,9516.9625,15294.2225,14167.5425,13631.0075,0,0,12065.89,22509.7575,38340.2125,9913.145,0,17689.165,0,
MF0010,128191.035,187048.66,3242.5,89389.845,31182.01,107021.81,128541.065,58966.67,239029.625,78813.51,106936.98,8247.825,177110.24,25684.12,59986.77,141231.945,60525.745,25985.82,158152.395,36167.88,37724.545,7835.955,78545.455,199031.315,58615.45,10891.015,162797.135,188638.255,29274.995,21014.11,32101.975,53429.51,7653.54,86647.115,77905.51,23151.16,30529.125,23959.96,6768.31,76928.575,9335.37,41063.64,56114.255,61393.915,24973.76,12595.925,18979.76,11230.745,31446.675,35152.56,4156.25,126195.95,64846.63,94326.735,28430.87,92361.955,38718.62,38224.06,48112.605,13436.04,63917.265,6616.75,68615.15,48925.52,36362.785,65829.66,36463.415,36402.42,94481.75,15800.49,38231.37,36920.905,52045.755,4933.75,40854.7,86103.875,60249.7,141147.53,45629.75,47210.925,72824.015,50172.45,23157.955,47356.965,45284.545,60267.05,101175.665,26295.5,24248.965,73318.15,22459.745,
MF0054,26015.1075,32645.9975,0,36047.89,7038.795,39010.735,36842.2725,15691.5375,74399.7125,17846.565,50247.4325,2130.2975,30710.0775,13065.1725,12461.6975,30458.7175,10738.2375,6645.7,29677.89,14828.435,12365.195,0,44038.685,52482.475,22703.7575,1992.6325,27401.5725,34747.215,15685.0725,5425.2975,13602.9275,13932.825,3027.465,47864.5825,15541.335,5957.0525,5798,7489.455,1575.485,15204.2075,2774.145,7885.2075,14342.015,22591.34,8159.2125,3812.4025,3954,3287.62,4938.185,15040.765,701.5125,67588.4175,15430.37,27263.56,11095.055,23901.7225,11074.3575,13643.515,18887.9025,2745.1925,11032.175,1942.4125,12132.5425,18595.0725,6816.2275,28766.8275,13547.0325,6967.2325,40097.125,7073.065,13158.0375,12588.41,17823.9425,0,17127.155,16350.0925,16851.475,37070.6625,8298.175,16151.5675,14482.265,10517.415,5494.5925,10604.33,8303.865,18730.5425,52085.07,8837.5575,6465.8175,15172.8625,11216.1725,
MF0098,766,78.94333333,0,92.39,87.5,79.44,480.2233333,760.2233333,21.16666667,894.28,332.61,115.6633333,166.8866667,242.78,129.8333333,434,244.61,654.22,143.8866667,171.89,871.5,7,54.33333333,3376.75,653.3866667,63.16666667,336.9466667,845.5,1098,248,767.2233333,101.5566667,230.5,1140.25,1192.28,416.9433333,1068.5,283.1666667,161.1666667,1440.053333,199.4433333,84.83333333,1785.78,159.1666667,292.3333333,301.11,50.83333333,239.7766667,98.11,1600.11,17.25,380.7766667,3774.883333,231.8333333,744.1666667,4658.5,328.8866667,91.44666667,723.1666667,61.27666667,193.5533333,212.3333333,96.56,941.95,181.61,526.2766667,2019,279.5566667,26.83333333,115.3333333,121.2233333,1372.106667,42.72333333,0,153.9433333,445.6633333,3767.776667,502.2166667,32,793.28,97.66666667,869.0533333,684.67,531.17,744.1666667,547.2166667,36.33333333,428.5033333,147.39,3307.886667,199.8866667,
MF0011,61674.805,64940.83,2182.5,73157.93,18809.285,63219.44,115602.47,32832.225,101940.15,42847.795,106280.8,4075.32,122805.86,35400.33,24866.13,58236.41,21472.445,11974.685,61606.27,20338.82,23571.545,4841.85,80895.66,83408.77,28221.79,4161.8,68602.845,81831.74,13165.675,11996.41,17212.55,26143.255,4067.165,39238.035,61161.84,12172.405,11453.375,13795.06,3126.975,28768.665,6917.29,16217.46,23158.455,63256.43,14631.51,8652.505,10408.115,6593.14,19232.095,18997.755,2487.325,152607.75,28999.99,51754.455,17481.98,41473.205,21484.145,32571.145,32724.66,7386.225,25736.28,3476.225,24572.395,28223.79,13173.705,36740.43,17680.29,13506.38,74011.375,13584.965,18591.875,22967.61,51953.42,3289.5,23054.675,32881.57,28506.745,60771.305,33138.6,23430.46,27609.605,21141.54,11889.625,21864.485,22353.395,34145.28,54943.915,17686.455,12911.185,33147.54,8968.835,
MF0055,32215.91,1897.16,3633.375,3263,11142.58,19731.48,94852.17,19900.17,15167,34966.84,22511.66,2654.66,4525.66,21908.42,585,11617.01,976.5,6934.74,6560.32,6592.84,11328.4,4488.33,11293.08,26274.43,16686.91,1097.92,14998.84,23624.25,2072.25,5791.92,4592.92,5288.34,2282.58,4170.75,18941.34,3882.41,10339.75,5934.92,2357.24,19213.08,4027.08,5498.92,31000.17,11220.33,11585.33,3660.5,8652.25,1771.83,9083.83,13001.41,2209,31039.66,37882.64,28197.17,11670.33,44001.33,7868,20305.01,13259.75,6229.33,4265.07,3046.25,2406.26,14665.1,7124.33,7641.58,11108.08,2126.17,38271.25,10614.33,5028.67,11172.99,10266.67,6297.5,7434.66,6720.74,32501.99,16034.49,1110.25,9188.42,2297.76,15214.99,6560.34,8937.34,11500,15326.32,14477.5,3098.51,3703,47187.16,1259.83,
