metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Line,6d5171bbc6ef97262119e6d152d82164,Vil1Cre,-2.457200513,0.8602341893,137,100,0.006794999873,0.09599820019
Site,89c209abd89a5232343a4c87c93cb4ea,Jejunum,0.659388447,0.2372153748,137,122,0.006647410699,0.09599820019
Line,799fcd30c710ffaccf04ca2879108efa,Vil1Cre,1.326412359,0.4646240388,137,18,0.006795053327,0.09599820019
Site,236833fbc5a378aae084b64206c25372,Duodenum,0.5634619059,0.2031627647,137,103,0.00675924706,0.09599820019
Line,2e11ee45d4ccab0775222da825d3bd42,LyzCre,-1.30032488,0.4545661804,137,75,0.006740400218,0.09599820019
Site,2e11ee45d4ccab0775222da825d3bd42,Jejunum,-0.5613315849,0.2018074436,137,75,0.006626427236,0.09599820019
Site,db1ea7350f45b6b1c577ee65fae969c4,Duodenum,-0.5504947632,0.1990401984,137,80,0.006925139381,0.0965535612
Line,3a81cd34e3edb8ef3e0c1fb4bc81e7b7,JJWT,2.072840829,0.7282126081,137,31,0.006931304845,0.0965535612
Line,be7fa93e72946b09913f7776a2f1c857,JJWT,2.529096313,0.8933576005,137,93,0.007215687307,0.09711925078
Sequencing_Run,c8433912bf1d2d7d9dd177739211ae41,NovaSeq_Jan_Twenty,1.786094459,0.6305963634,137,37,0.007182435319,0.09711925078
Line,10d8f09d85fad48b134dbba261adf29c,Vil1Cre,0.9237984495,0.3257220319,137,23,0.007127079487,0.09711925078
Site,0789b8bf342cad7160cfe6e2e074f034,Duodenum,-0.3684905345,0.1337805186,137,36,0.007119157363,0.09711925078
Line,672f609119344a6b7dbf954d60b3950e,Vil1Cre,-1.532142419,0.5393248764,137,74,0.007072905664,0.09711925078
Sequencing_Run,178d4eb06bd14fca2d3c300f9f05e384,NovaSeq_Jan_Twenty,-3.557655355,1.262681883,137,78,0.007483999971,0.10005455
Line,d013db1a71d477496cb864ee431c3420,Vil1Cre,-1.20350586,0.4334119497,137,136,0.008424030145,0.1099640557
Site,7cd17d18c05e35c6001cc253ac15c517,Duodenum,0.412454896,0.1532361019,137,137,0.008501237236,0.1099640557
Line,20fe5c9f456999fe121cb1c16bf41e77,Vil1Cre,1.291278673,0.4660687054,137,78,0.00847395479,0.1099640557
Line,49e9cee41713f4c00f8b171ecaff09b5,Vil1Cre,0.776389643,0.2797578169,137,34,0.00834705598,0.1099640557
Site,37e0f2e7c7ab2a2f738b92a61085aec0,Duodenum,-0.4943799561,0.1833965582,137,54,0.008386577249,0.1099640557
Line,2ce5f984c303607afe63f839e492f57b,JJWT,-3.124915587,1.132639777,137,97,0.008681396044,0.1113796385
Line,df4ca25fd346713ef43d2c727b2ef78e,JJWT,-2.499558022,0.9071202541,137,86,0.00876210317,0.1113796385
Sequencing_Run,c50f108c7f26f34cb8226f54985908be,NovaSeq_Mar_Twenty,-5.11373742,1.859548462,137,58,0.008778415285,0.1113796385
Line,6d5171bbc6ef97262119e6d152d82164,JJWT,-4.053665147,1.473700705,137,100,0.00890337973,0.1122502052
Line,a0f4041ccc6a3b1f6512919ebe00613d,JJWT,-2.189679085,0.799809461,137,130,0.009273966472,0.1161870516
Line,79d4cbe747374bb267d78e572c82d82c,Vil1Cre,1.257397889,0.4626959304,137,66,0.009709791952,0.1208869098
Line,e5450be8d98da604aa4a1fa0ed722fe1,LyzCre,0.8255874303,0.3060042002,137,25,0.01011690475,0.1251731321
Sex,048a59d179f89089b6e3a2d50f389e94,Male,0.6591332126,0.2441761577,137,114,0.01030012385,0.126404702
Site,84a1034f71767fa92491aebf1bdf7fdc,Jejunum,-0.4575418413,0.1745372141,137,84,0.01034335664,0.126404702
Site,9ff8565480eb4d1ae1feec02a0dfce35,Jejunum,-0.6621843974,0.2529662456,137,131,0.01041719367,0.1265307914
Sequencing_Run,a0f4041ccc6a3b1f6512919ebe00613d,NovaSeq_Jan_Twenty,1.708966831,0.6364898374,137,130,0.01062944815,0.1275533778
Line,de5c3f0b7c96b05b03568bbdbd3e4a80,Vil1Cre,0.8872332109,0.3309516441,137,35,0.01061695741,0.1275533778
